Dealership,VDP_URL_1,Main_Photo,Make,Year_Model_Trim,Stock,Description,LeasePrice,DueAtSigning,LeaseTerm,disclaimer_1,PurchaseType,Luxury_Subject_Line,Luxury_Preheader,Lifestyle_Subject_Line,Lifestyle_Preheader,Hero_Disclaimer,Lifestyle_Body_Title,Lifestyle_Body,Hero_Image
,,,,,,,,,,,,,,,,,,,
Mercedes-Benz of Thousand Oaks,https://www.mbzthousandoaks.com/used-Thousand+Oaks-2024-Mercedes+Benz-+-EQB+300-W1N9M0KB6RN102941,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024MBSA2_01_640/cc_2024MBSA21942882_01_640_149.png,Pre-Owned Mercedes-Benz,2024 EQB 300,N102941L,"Plus Tax, Title, License",349,349,36,"*2024 Mercedes-Benz EQB 300: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $60725 with a net capitalized cost of $35412. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $12564. Cash due at signing is $349, which includes your first payment of $349. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $14008. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $27933 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N109050L N102941L.",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $29561. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N087908L. ",,,
Mercedes-Benz of Thousand Oaks,https://www.mbzthousandoaks.com/offerdetails-Used-Thousand-Oaks-California-2024-Mercedes-Benz-EQB-300-4MATIC-1531896,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024MBSA2_01_640/cc_2024MBSA21942887_01_640_922.png,Pre-Owned Mercedes-Benz,2024 EQB 300,"N090541L, N097910L","Plus Tax, Title, License",399,399,36,"*2024 Mercedes-Benz EQB 300: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $61775 with a net capitalized cost of $37489. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $14364. Cash due at signing is $399, which includes your first payment of $399. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $15858. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $28416 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N090541L N097910L.",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $29561. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N087908L. ",,,
Mercedes-Benz of Thousand Oaks,https://www.mbzthousandoaks.com/offerdetails-Used-Thousand-Oaks-California-2025-Mercedes-Benz-CLA-250-1531869,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBCBJ_01_640/cc_2025MBCBJ1955821_01_640_144.png,Pre-Owned Mercedes-Benz,2025 CLA 250,"N491107L, N527047L","Plus Tax, Title, License",449,449,36,"*2025 Mercedes-Benz CLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $47710 with a net capitalized cost of $40325. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $16164. Cash due at signing is $449, which includes your first payment of $449. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $17708. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $25363 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N491107L N527047L.",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $29561. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N087908L. ",,,
Mercedes-Benz of Thousand Oaks,https://www.mbzthousandoaks.com/offerdetails-Used-Thousand-Oaks-California-2024-Mercedes-Benz-EQE-350+-1531884,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2024MBCCU_01_640/cc_2024MBCCU0003_01_640_197.png,Pre-Owned Mercedes-Benz,2024 EQE 350+,"F054867L, F053731L","Plus Tax, Title, License",599,599,36,"*2024 Mercedes-Benz EQE 350+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $83735 with a net capitalized cost of $58993. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $21564. Cash due at signing is $599, which includes your first payment of $599. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $23258. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $41030 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # F053731L F054867L",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $29561. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N087908L. ",,,
Mercedes-Benz of Thousand Oaks,https://www.mbzthousandoaks.com/used-Thousand+Oaks-2025-Mercedes+Benz-+-GLC+300-W1NKM4HB1SF252777,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBS68_01_640/cc_2025MBS680001_01_640_149.png,Pre-Owned Mercedes-Benz,2025 GLC 300,F252777L,"Plus Tax, Title, License",699,699,36,"*2025 Mercedes-Benz GLC 300: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54700 with a net capitalized cost of $49786. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $25164. Cash due at signing is $699, which includes your first payment of $699. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $26958. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $30779 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # F252777L.",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz Thousand Oaks through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $29561. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N087908L. ",,,
,,,,,,,,,,,,,,,,,,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/used-Wilsonville-2025-Mercedes+Benz-+-CLA+250-W1K5J4HBXSN505801,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBCBJ_01_640/cc_2025MBCBJ1955820_01_640_149.png,Pre-Owned Mercedes-Benz,2025 CLA 250,N505801L,"Plus Tax, Title, License",449,449,36,"*2025 Mercedes-Benz CLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $47710 with a net capitalized cost of $40325. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17259. Cash due at signing is $449, which includes your first payment of $449. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $16164. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $25363 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1K5J4HBXSN505801.",Lease,,,,,"*2024 Mercedes-Benz EQB 250+: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $54675 with a net capitalized cost of $32868. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $13659. Cash due at signing is $349, which includes your first payment of $349. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $12564. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24751 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1N9M0CB9RN107646 W1N9M0CB3RN107903 W1N9M0CB2RN107827 W1N9M0CB7RN106379 W1N9M0CB8RN097921. ",,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/used-Wilsonville-2025-Mercedes+Benz-+-GLA+250-W1N4N4HB2SJ643391,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBS71_01_640/cc_2025MBS711956721_01_640_191.png,Pre-Owned Mercedes-Benz,2025 GLA 250,J643391L,"Plus Tax, Title, License",449,449,36,"*2025 Mercedes-Benz GLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $36797 with a net capitalized cost of $38591. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17259. Cash due at signing is $449, which includes your first payment of $449. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $18803. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $25906 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1N4N4HB2SJ643391.",Lease,,,,,,,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/offerdetails-Used-Wilsonville-Oregon-2025-Mercedes-Benz-CLA-250-1525974,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBCBJ_01_640/cc_2025MBCBJ1955827_01_640_970.png,Pre-Owned Mercedes-Benz,2025 CLA 250,N525723L,"Plus Tax, Title, License",469,469,36,"*2025 Mercedes-Benz CLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $49355 with a net capitalized cost of $41887. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $17979. Cash due at signing is $469, which includes your first payment of $469. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $16884. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $26252 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1K5J4HB1SN524768 W1K5J4HB6SN525723.",Lease,,,,,,,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/used-Wilsonville-2025-Mercedes+Benz-+-C+300-W1KAF4HB0SR241237,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBC89_01_640/cc_2025MBC890002_01_640_149.png,Pre-Owned Mercedes-Benz,2025 C300,R241237L,"Plus Tax, Title, License",499,499,36,"*2025 Mercedes-Benz C300:  Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $51805 with a net capitalized cost of $43489. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $19059. Cash due at signing is $499, which includes your first payment of $499. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $20653. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $29129 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1KAF4HB9SR253547 W1KAF4HB0SR241237.",Lease,,,,,,,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/offerdetails-Used-Wilsonville-Oregon-2025-Mercedes-Benz-GLA-250-1525984,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBS71_01_640/cc_2025MBS711956721_01_640_191.png,Pre-Owned Mercedes-Benz,2025 GLA 250,"J655308L, J683770L, J676857L","Plus Tax, Title, License",499,499,36,"*2025 Mercedes-Benz GLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $47305 with a net capitalized cost of $40875. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $19059. Cash due at signing is $499, which includes your first payment of $499. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $20653. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $26564 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1N4N4HB0SJ676857 W1N4N4HB1SJ683770 W1N4N4HB5SJ655308.",Lease,,,,,,,,
Mercedes-Benz of Wilsonville,https://www.mercedesbenzwilsonville.com/new-Wilsonville-2024-Mercedes+AMG-GT-53-W1K7X6BB1RV002356,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBCDF_01_640/cc_2025MBCDF1965596_01_640_197.png,Pre-Owned Mercedes-Benz,2024 AMG® GT 53,V002356,"Plus Tax, Title, License",1159,4999,36,"*2025 Mercedes-AMG® GT 53: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Wilsonville through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $120520 with a net capitalized cost of $83165. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $42819. Cash due at signing is $4999, which includes your first payment of $1159. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $0. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $41724. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $56244 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # W1K7X6BB1RV002356.",Lease,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mercedes-Benz of Marin,https://www.mbofmarin.com/offerdetails-Used-San-Rafael-California-2025-Mercedes-Benz-CLA-250-1523090,https://cr.dealeron.us/assets/stock/ColorMatched_01/Transparent/640/cc_2025MBCBJ_01_640/cc_2025MBCBJ1955823_01_640_696.png,Pre-Owned Mercedes-Benz,2025 CLA 250,"N489316L, N501975L, N533110L","Plus Tax, Title, License",399,2500,36,"*2025 CLA 250: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Marin through Mon Jun 30 2025. Not everyone will qualify. Must be a current AAA member. Advertised 36 months lease payment based on MSRP of $45710 with a net capitalized cost of $37583. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $14364. Cash due at signing is $2500, which includes your first payment of $399. $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $171. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $15858. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $24683 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N489316L N501975L N533272L N533110L.",Lease,,,,,"*2024 EQB 300 4MATIC: Available only to qualified customers through MB Financial Services at Mercedes-Benz of Marin through Mon Jun 30 2025. Not everyone will qualify. Advertised 36 months lease payment based on MSRP of $60935 with a net capitalized cost of $32160. Must be a AAA member. Dealer sets the final price. Dealer’s contribution may vary and could affect your actual lease payment. Includes Destination Charge. Excludes title, taxes, registration, license fees, insurance, Dealer prep and additional options. Offer excludes certain optional equipment shown or described. Total monthly payments equal $8964. Cash due at signing is $249, which includes your first payment of $249 plus drive-offs.  $1095 acquisition fee is added to the gross capitalized cost. Cap cost reduction is $6230. Your acquisition fee may vary by dealership. The acquisition fee charged by the Dealer may affect the total cash due at signing. No security deposit required. Total payments equal $10308. At lease end, lessee pays for any amounts due under the lease, any official fees and taxes related to the scheduled termination, excess wear and use plus $0.25/mile over 22500 miles and a $595 vehicle turn-in fee. Purchase option at lease end for $28030 plus taxes (and any other fees and charges due under the applicable lease agreement) in example shown. Subject to credit approval. Specific vehicles are subject to availability and may have to be ordered. See participating Dealer for details. Offer not valid in Puerto Rico. Inventory is current at time of media release. Offer applies to Stock # N107045L. ",,,
